VertexNo,GraphNo,Eigens/Linear,Squared Eigens/Linear,Eigens Ave,Sq. Eigens Ave
5,3,1.2,43.2,1.2,43.2
6,5,0.54068,31.88,1.27034,64.94
6,6,2,98,,
7,9,0.66188,32.717,0.91644,55.6995
7,10,1.171,78.682,,
8,14,0.92291,67.335,0.955095,57.201
8,18,0.98728,47.067,,
9,46,2.7554,264.87,2.7554,264.87
10,45,0.57752,54.076,1.13353,92.44725
10,69,1.5615,122.79,,
10,88,1.3894,123.23,,
10,90,1.0057,69.693,,
11,89,1.4053,111.43,0.82137,71.85766667
11,115,0.53478,50.215,,
11,202,0.52403,53.928,,
12,523,1.0438,86.022,1.0438,86.022
13,1080,0.83329,95.087,0.726435,75.838
13,1154,0.61958,56.589,,
AVERAGE,,1.096336111,82.60061111,,